昵称,id,学历,学校,学院,专业,经验,简介
行者肖恩,57fb9a3719c9197c7d1a31d5,学生, Fontys University of Applied Science,International Business and Management Study,Business Administation / Management Science,目前还没成功，但是快了 :D,
,57fba47619c9197c7d1a31d6,研究生,广东财经大学,法学院,Law,,
蔚蓝天空,57fb08d2b1a0c4ea756ce76e,学生,北师大,心理学院,Psychology,心向往之,
积木,57fa6266a4390f5e6332bb97,学生,VSB,商学院,Economics / Finance,金融小白,
龚亚珍,57fb16986ff161627d20e951,副教授,中国人民大学,环境学院,Economics,资源经济学,
笑笑,57fa4f068fd09d7763e42fa0,副教授,中科大,管理学院,Social Sciences,科研之路上的奋斗者,中科大副教授
JKong,57f920c2a4390f5e6332bb8b,学生,三峡大学,经济与管理学院,Business Administation / Management Science,道兮  魂兮  鬼兮,
Aubrey,57f7adfda4390f5e6332bb19,研究生,北京大学,心理学院,Psychology,爱北鼻的逗鼻,
Changwei,57f7a6508fd09d7763e42f26,Lecturer,CUMT,Chemical Engineering,Chemistry,A teacher in CUMT Chemistry department.,"Ph.D CUMT, BA CUMT"
Lucia,57f7a1208fd09d7763e42f1a,研究生,华南师范大学,心理学院,,,
丛丛,57f75f4a8fd09d7763e42f17,博士,人大,商学院,Psychology,研究方向：人力资源管理，心理契约,
January,57f6567e8fd09d7763e42f08,学生,西交利物浦大学,IBSS,Economics / Finance,,专注写essay一百年 ：）
刘川源,57f648c5a4390f5e6332bafa,硕士,北京理工大学,管理与经济学院,Business Administation / Management Science,北京理工大学管理与经济学院硕士，组织行为学方向,
Ice ,57f61618a4390f5e6332bae4,本科生,,商学院,Arts and Literature,*-*,
ulson,57f615808fd09d7763e42ef3,学生,天津大学,经济学院,Economics / Finance,Sonnet男孩👦,Still None.
李东,57f607e8a4390f5e6332bae3,学生,重庆科技学院,材料学院,Materials Science,焊子一枚,
班永飞,57f48ef78fd09d7763e42ed3,副教授,安顺学院,教育科学学院,Psychology,高校心理学老师,
Jing静,57f48a2f8fd09d7763e42e7f,西部高校教师,高等院校,经济管理,Economics / Finance,,
张笑寒,57f475dba4390f5e6332ba79,研究生,华中科技大学,管理学院,Business Administation / Management Science,营销的研究生，热爱游戏、音乐和电影，擅长羽毛球~,
LI SHIDI,57f3afcf8fd09d7763e42e68,PhD Student,National University of  Singapore,Mechanical Engineering,Engineering,I received my B. Eng. degree in USTC in 2016. I am currently a PhD student in NUS (Singapore). My research is about Robotics and Automation base on Machine Learning.,
顾沁,57f3949f8fd09d7763e42e62,学生,华南理工大学,建筑学院,Social Sciences,城市规划,
crystal,57f37109a4390f5e6332ba01,博士在读,华东师范大学,经济学院,Economics / Finance,金融博士在读,
刘梦曦,57f25b01a4390f5e6332b9ef,学生,中国医科大学,附属第一医院心理科,Psychology,善变的姑娘,
张玉坤,57f3661d8fd09d7763e42e58,助理研究,香港中文大学,系统工程学院,Economics / Finance,香港中文大学research assistant,
罗梦醒,57f24ef9a4390f5e6332b99e,学生,承德医学院,心理学系,Psychology,一个好奇心相当强的菇凉。,
王妃妃,57f1e2a9a4390f5e6332b99a,学生,安徽大学,商学院,Business Administation / Management Science,安徽大学,
吴老师,57f1d32aa4390f5e6332b998,吴松强，南京工业大学经济与管理学院教授，硕士研究生导师。,南京工业大学经济与管理学院；南京大学商学院,经济与管理学院,Business Administation / Management Science,南京吴老师，企业战略管理研究方向,2004-，先后经过博士，博士后学习和研究。获得国家社科基金、博士后特别资助基金、博士后面上基金等项目。
devil ming,57f11689a4390f5e6332b994,学生,北中医,中药学院,Medicine,,
饮水,57ee87b4a4390f5e6332b91a,博士生,清华大学,五道口金融学院,,,
宋琪,57ee179ba4390f5e6332b918,博士生,西南财经大学,工商管理学院,Business Administation / Management Science,,
木易,57ede83f8fd09d7763e42c8a,本科生,华中师范大学,数学与统计学学院,,,
ymwang,57ed47158fd09d7763e42c69,学生,中科院,长春应化所,Chemistry,electrochemistry,
Damon  ,57e9fca68fd09d7763e42b4b,Postdoctor,USTC,,Business Administation / Management Science,Reputation and risk management,
Sherry Liu,57eccdd5a4390f5e6332b82a,学生,中南财大,金融学院,Economics / Finance,"中南财大 金融学 研究生在读
好奇心很重
求知欲很浓
喜欢琢磨些有的没的
知道些奇奇怪怪的东西",
文秋香,57ea610ba4390f5e6332b800,博士生,南京大学,南京大学商学院,,,
Fangjie Dong,57ec837da4390f5e6332b823,社会学硕士,南京大学,社会学院,Social Sciences,,
Cindy,57ea168b8fd09d7763e42b4e,博士生,吉林大学,管理学院,Business Administation / Management Science,工商管理博士生,创业管理
Molly,57e9e09da4390f5e6332b7e3,博士生,东北大学,工商,Business Administation / Management Science,在读博士,
brounce   B,57e9d72c8fd09d7763e42b49,硕士,华东师范大学,心理与认知科学学院,Psychology,无聊小能手,
ZHOU XIAN,57e9c36da4390f5e6332b7ba,硕士,山东大学,管理学院,Arts and Literature,,
马维,57e91667a4390f5e6332b6f7,学生,云南师范大学,云南师范大学,Psychology,云南师范大学大四应用心理学专业学生。,
Lifei_Li,57e8cca78fd09d7763e42b20,学生,复旦大学,社会发展与公共政策学院,Psychology,,
尽力生活的桑葚,57e89b51a4390f5e6332b6a4,硕士,华中师范大学,心理学院,,大量的输入，才能获得一点输出，这是什么设定，我很苦恼,
墨云,57e88d25a4390f5e6332b6a3,研究生,武大,经管院,Business Administation / Management Science,营销研究僧,电子商务会员制
石健,57e62333a4390f5e6332b5b0,本科生,华中师范大学,心理学院,Psychology,爱阅读，爱学习，不怎么喜欢学习心理学的心理学本科生。,参加导师的研究工作
Daniel Wei,57e824328fd09d7763e42b12,Graduate Student,Duke University,Economics Department,Economics,Second-year graduate students studying economics from Duke.,
Neil Xiao,57e85408a4390f5e6332b69c,Ph.D,ANU,CBE,Business Administation / Management Science,,
黄金祥,57e7e558a4390f5e6332b69b,学生,中南财经政法大学,公共管理,,对研究有点兴趣的在读本科生,
Ruoning Qian,57e7de83a4390f5e6332b699,Phd candidate ,,Information system ,Arts and Literature,Information System ,
夏鹏飞,57e5d6c68fd09d7763e42a45,学生,华中科技大学,公共卫生学院,Medicine,公共卫生学生,
晶莹,57e497848fd09d7763e42a36,教师,大学,经济与工商管理学院,Economics,有志于经济研究的幼儿园小朋友,
郑小宝,57e49874a4390f5e6332b4e1,学生,江南大学,商学院,Business Administation / Management Science,目前是正在读研一，学术菜鸟，渴望上进。关注学术，关注管理科学与工程，关注MS,目前还没有，研一
陈浩,57e48f67a4390f5e6332b4de,博士生,南京大学,金融系,Economics / Finance,南京大学金融系博士生,
Malawi,57e48d80a4390f5e6332b4dd,master,SYSU,International Finance School,Business Administation / Management Science,Corporate Governance,
 无忌老爹,57e48d77a4390f5e6332b4dc,老师,北邮,,Computer and Information Science,教书匠,
Shirley Guo,57e48d298fd09d7763e42a31,master of e-commerce,Wuhan University,School of Information Management,Computer and Information Science,"master of electronic commerce, Wuhan University",
guoyixin,57e48cc18fd09d7763e42a30,博士,复旦大学,管理学院,Economics / Finance,,
浮沉阡陌,57e47f0e8fd09d7763e42a1e,学生,合肥工业大学,经济学院,Economics,经济学初学者,
richard,57e47fd1a4390f5e6332b4d4,博士,清华大学,经管学院,Business Administation / Management Science,埋在书里的虫,涉猎中西
上善若水,57e483aaa4390f5e6332b4da,工程师,,,Arts and Literature,水利工程、水文水资源相关专业，欢迎讨论。,水文水资源研究生，对研究所填写内容相关课题均进行过研究
Joe zhang,57e3e7ea8fd09d7763e42a1b,学生,浙江大学,经济学院,Economics / Finance,财政学系本科在读,
郑安,57e37fcc620a6ce70b2e2c7a,硕士研究生,中央财经大学,商学院,Business Administation / Management Science,,
九月,57e242bf9454b3a237164b90,研究生,山东师范大学,心理学院,Psychology,,
张路,57e2a4fb620a6ce70b2e2c76,研究生,贵州财经大学,工商管理学院,Psychology,学渣,
晋晋,57e2164d9454b3a237164b89,学生,鲁东大学,教育科学学院,,心理学本科在读，感兴趣方向为社会心理学，人格心理学，发展心理学，希望可以和心理学爱好者一起交流。,
猛犸大力花,57e21bb5620a6ce70b2e2c6e,研究生,北师大,心理学院,Psychology,很猛很大力,小白一只
阿油,57e11c36620a6ce70b2e2c61,学生,培正学院,法学院,Law,法学狗。,
博弈到底,57e0e7b19454b3a237164af0,副教授,上海大学,管理学院,Business Administation / Management Science,战略管理；创新与创业；知识产权管理,
Lily,57dfeeaa9454b3a237164aee,2015年秋季博士生·,哈尔滨工业大学,管理学院电子健康研究所,Business Administation / Management Science,奋斗路上的小倔强,
Ted,57dfba7b620a6ce70b2e2c59,学生,华南理工大学,工商管理学院,,Discovering.,
马林岭,57df57a5620a6ce70b2e2c43,学生,华中师范大学,信息管理学院,Social Sciences,信息管理学院,
,57dea4bf3ecd90c9347315f7,研究生,湖南大学,工商管理学院,Business Administation / Management Science,,
Elin,57de7b503ecd90c9347315f2,学生,天津理工,新能源,Chemistry,小透明,
Catherine,57de3d7f620a6ce70b2e2c38,Human Resources Manager,Waylens,Human Resources,Humanities,Aviation and IT industry practitioner.,
偶尔zwy,57dcd1fc620a6ce70b2e2bf4,学生,郑州大学,国际学院,Psychology,,
Rae,57de2326620a6ce70b2e2c36,研究生,中科院,生态环境研究中心,Environmental Sciences,,研二刚进入实验室的小白一枚，立志发paper。努力看文献探索中~
圆圆,57ddfbb1620a6ce70b2e2c35,学生,中科院,心理所,Psychology,心理学，研一，,在跟老师做名字的研究
尹西明-THU,57ddfc593ecd90c93473151a,博士生,清华大学,经管学院,Business Administation / Management Science,清华经管博士在读，主攻创新创业与企业战略方向，研究兴趣：创新管理，创业心理学，创新生态系统。致力于融合宏观与微观，经济学与管理学，并促进东西对话、理论与实务的对话。,
邢磊,57dd4c13620a6ce70b2e2bfd,职员,电信科学技术研究院,信息综合技术部,Engineering,邢磊,
小黑闹,57dce7cb620a6ce70b2e2bf5,博士,中国人民大学,劳动人事学院,Business Administation / Management Science,学生,
pengcheng tang,573453562086647c32ebb480,Doctor of Philosophy,China university of geosciences,Economics and management department,Economics / Finance,corporate sustainablity,
九天临风,57d915db620a6ce70b2e2a5a,硕士生,湖南大学,工商管理学院,Business Administation / Management Science,乐观开朗，正能量,
Chen Siyu,57d8fe933ecd90c9347313df,学生,香港理工大学,酒店管理,Business Administation / Management Science,,
石皓天,57d8adae3ecd90c934731394,教师,DIVISION OF SCHOLARSHIPS,CONFUCIUS INSTITUTE HEADQUARTERS,Arts and Literature,大学辅导员，英语专业的考试爱好者。,朴茨茅斯大学教育领导与管理专业
许树沛,57d7ca213ecd90c9347312d5,研究员,广西大学,教育学院,Business Administation / Management Science,组织行为学、人力资源管理教学科研人员,"         曾主持和参与完成省部级以上课题5项，主持完成厅级课题2项，在《南开管理评论》、《经济管理》、《黑龙江高教研究》等刊物公开发表学术论文20余篇，合著著作2部。
          近年研究课题有：
        1、民族地区中小学教师职业韧性研究（广西社科规划项目，结题）
        2、高校基层党组织设置问题研究——以广西为例（广西大学项目）
        3、地方综合性大学区域特色学科建设与区域经济社会的契合研究与探索（排第3位，国家社科规划项目） 
        4、广西少数民族乡村闲暇教育与社会主义新农村建设研究"
uking,57d6dd79620a6ce70b2e2a3b,博士生,西南大学,心理学部,Psychology,主要关注领域:刻板印象威胁、任务态fmri实验设计、mri元分析等。,
张江华,57d696633ecd90c9347312ab,教授,山东大学,管理学院,Business Administation / Management Science,山东大学,2008-至今 山东大学管理学院
Magnolia_mao,57d618fd3ecd90c9347311ba,博士生,北京大学,心理与认知科学学院,Psychology,,
卡冈都亚,57d61428620a6ce70b2e29c7,在读博士生,东南大学,交通学院,Engineering,东南大学载运工具运用学科在读博士生,
孙凯鹏,57d60af7620a6ce70b2e295c,学生,辽宁师范大学,脑与认知神经科学中心,Psychology,研究生,
彭坚,57d574453ecd90c934731198,博士生,暨南大学,管理学院,Psychology,组织行为学与人力资源管理博士，研究兴趣为领导力与追随力。现为微信公众号《组织行为研究》创始人。,
夏沫,57d6021f620a6ce70b2e2959,学生,南京林业大学,经济管理学院,Business Administation / Management Science,一心求知，倦而不怠。,
谭蔡林,57d60944620a6ce70b2e295b,硕士,中科院,经济与管理学院,Economics / Finance,经济管理,
